forest,plot,pest,severity,date
1-Pisilideo,1,Pisilideo,LOW,2024-08-09
1-Pisilideo,2,Pisilideo,LOW,2024-08-09
1-Pisilideo,3,Pisilideo,LOW,2024-08-09
1-Perervejo Bronzeado,0,Perervejo Bronzeado,LOW,2022-04-29
1-Perervejo Bronzeado,1,Perervejo Bronzeado,LOW,2022-04-18
1-Perervejo Bronzeado,2,Perervejo Bronzeado,LOW,2022-04-18
1-Perervejo Bronzeado,3,Perervejo Bronzeado,LOW,2022-04-03
1-Perervejo Bronzeado,4,Perervejo Bronzeado,LOW,2022-04-03
1-Perervejo Bronzeado,5,Perervejo Bronzeado,LOW,2022-04-02
1-Perervejo Bronzeado,6,Perervejo Bronzeado,LOW,2022-04-02
1-Perervejo Bronzeado,7,Perervejo Bronzeado,LOW,2022-03-31
1-Perervejo Bronzeado,8,Perervejo Bronzeado,LOW,2022-03-29
1-Perervejo Bronzeado,9,Perervejo Bronzeado,LOW,2022-03-27
1-Perervejo Bronzeado,10,Perervejo Bronzeado,LOW,2022-03-27
1-Perervejo Bronzeado,11,Perervejo Bronzeado,LOW,2022-03-27
1-Perervejo Bronzeado,12,Perervejo Bronzeado,LOW,2022-03-26
1-Perervejo Bronzeado,13,Perervejo Bronzeado,LOW,2022-03-24
1-Perervejo Bronzeado,14,Perervejo Bronzeado,LOW,2022-03-24
1-Perervejo Bronzeado,15,Perervejo Bronzeado,LOW,2022-03-22
1-Perervejo Bronzeado,16,Perervejo Bronzeado,LOW,2022-03-22
1-Perervejo Bronzeado,17,Perervejo Bronzeado,LOW,2022-03-22
1-Perervejo Bronzeado,18,Perervejo Bronzeado,LOW,2022-03-22
1-Perervejo Bronzeado,19,Perervejo Bronzeado,LOW,2022-03-22
1-Perervejo Bronzeado,20,Perervejo Bronzeado,LOW,2022-03-20
1-Perervejo Bronzeado,21,Perervejo Bronzeado,LOW,2022-03-19
1-Perervejo Bronzeado,22,Perervejo Bronzeado,LOW,2022-03-19
1-Perervejo Bronzeado,23,Perervejo Bronzeado,LOW,2022-03-15
1-Perervejo Bronzeado,24,Perervejo Bronzeado,LOW,2022-03-13
1-Perervejo Bronzeado,25,Perervejo Bronzeado,LOW,2022-02-14
1-Perervejo Bronzeado,26,Perervejo Bronzeado,LOW,2022-02-14
1-Perervejo Bronzeado,27,Perervejo Bronzeado,LOW,2022-02-14
1-Lagarta Desfolhadora,1,Lagarta Desfolhadora,LOW,2024-05-01
1-Lagarta Desfolhadora,2,Lagarta Desfolhadora,LOW,2024-05-01
1-Formiga,1,Formiga,LOW,
1-Formiga,2,Formiga,LOW,
1-Formiga,3,Formiga,LOW,
1-Formiga,4,Formiga,LOW,
1-Formiga,5,Formiga,LOW,
1-Formiga,6,Formiga,LOW,
1-Formiga,7,Formiga,LOW,
